,movie_title,year,place,star_cast,rating,vote,link
197, Barry Lyndon,1975,198,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.072933001592846,,/title/tt0072684/
198, El gran Lebowski,1998,199,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.072056739888566,,/title/tt0118715/
199, Mad Max: Furia en la carretera,2015,200,"George Miller (dir.), Tom Hardy, Charlize Theron",8.071524762417665,,/title/tt1392190/
200, Klaus,2019,201,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.07148835669445,,/title/tt4729430/
201, Relatos salvajes,2014,202,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.07032881292069,,/title/tt3011894/
202," Monstruos, S,A,",2001,203,"Pete Docter (dir.), Billy Crystal, John Goodman",8.068033832471043,,/title/tt0198781/
203, Mary and Max,2009,204,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.066190130660747,,/title/tt0978762/
204, Tiburón,1975,205,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.066011187924037,,/title/tt0073195/
205, La pasión de Juana de Arco,1928,206,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.063266395060358,,/title/tt0019254/
206, Hotel Rwanda,2004,207,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.061216865461093,,/title/tt0395169/
207, Rocky,1976,208,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.05851820196875,,/title/tt0075148/
208, El club de los poetas muertos,1989,209,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.05724528279936,,/title/tt0097165/
209, Cuentos de Tokio,1953,210,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.057162311386358,,/title/tt0046438/
210, Platoon,1986,211,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.055661919638894,,/title/tt0091763/
211, Terminator,1984,212,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.052526420167652,,/title/tt0088247/
212, Le Mans '66,2019,213,"James Mangold (dir.), Matt Damon, Christian Bale",8.052263429536804,,/title/tt1950186/
213, Cuenta conmigo,1986,214,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.051787576990119,,/title/tt0092005/
214, Rush,2013,215,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.049579501327807,,/title/tt1979320/
215, Hacia rutas salvajes,2007,216,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.04880255414961,,/title/tt0758758/
216, El mago de Oz,1939,217,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.047131569549283,,/title/tt0032138/
217, Logan,2017,218,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.04608950413971,,/title/tt3315342/
218, Spotlight,2015,219,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.044911180353933,,/title/tt1895587/
219," Network, un mundo implacable",1976,220,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.0431385844549,,/title/tt0074958/
220, Atrapado en el tiempo,1993,221,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.041883863238194,,/title/tt0107048/
221, El exorcista,1973,222,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.038471596897427,,/title/tt0070047/
222, Ratatouille,2007,223,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.03794745996841,,/title/tt0382932/
223, Siempre a tu lado (Hachiko),Hachiko,224,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.035431448901718,,/title/tt1028532/
224, Los Increíbles,2004,225,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.034766289425718,,/title/tt0317705/
225, Dersu Uzala (El cazador),El cazador,226,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.034675880070214,,/title/tt0071411/
226, Los mejores años de nuestra vida,1946,227,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.033560509077843,,/title/tt0036868/
227, Dune,2021,228,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",8.032671832695362,,/title/tt1160419/
228, Antes del atardecer,2004,229,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.032667467499646,,/title/tt0381681/
229, Rebeca,1940,230,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.030931626038292,,/title/tt0032976/
230, Mi padre y mi hijo,2005,231,"Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor",8.030000766312673,,/title/tt0476735/
